Name,Fund,Students,Fund/Students
世新大學,-134217728,11223,-11959.16671
中信金融管理學院,42991616,825,52111.0497
中原大學,1902116864,16405,115947.3858
中國文化大學,552599552,24788,22293.02695
中國醫藥大學,-1239416832,7203,-172069.531
中山醫學大學,85983232,6833,12583.52583
中華大學,465567744,4948,94092.10671
亞洲大學,-199229440,11421,-17444.13274
佛光大學,-1398800384,3458,-404511.3892
元智大學,-1768947712,8739,-202419.9236
南華大學,1807745024,5701,317092.6195
台灣首府大學,329252864,1130,291374.2159
國立中央大學,-1029701632,11938,-86254.1156
國立中山大學,1383071744,9706,142496.5737
國立中正大學,-1250951168,11128,-112414.7347
國立中興大學,-568328192,14974,-37954.33364
國立交通大學,1241513984,15182,81775.39086
國立嘉義大學,437256192,11689,37407.49354
國立宜蘭大學,-486539264,5476,-88849.3908
國立屏東大學,1231028224,9027,136371.7984
國立彰化師範大學,-1820327936,8453,-215346.9698
國立成功大學,-352321536,21773,-16181.57975
國立政治大學,53477376,16351,3270.587487
國立暨南國際大學,28311552,6016,4706.042553
國立東華大學,-475004928,10008,-47462.52278
國立清華大學,1241513984,16917,73388.54312
國立聯合大學,197132288,7559,26079.14909
國立臺中教育大學,-2060451840,4902,-420328.8127
國立臺北大學,1053818880,10080,104545.5238
國立臺北教育大學,-81788928,5885,-13897.86372
國立臺北藝術大學,1663041536,3144,528957.2316
國立臺南大學,2067791872,5773,358183.2448
國立臺南藝術大學,-1475346432,1599,-922668.1876
國立臺東大學,-2047868928,4939,-414632.2997
國立臺灣大學,1375731712,32527,42295.06908
國立臺灣師範大學,1126170624,15920,70739.3608
國立臺灣海洋大學,948961280,8905,106564.9949
國立臺灣藝術大學,-1556086784,5545,-280628.8159
國立臺灣體育運動大學,1034944512,3122,331500.4843
國立金門大學,934281216,4131,226163.451
國立陽明大學,1121976320,4534,247458.3855
國立體育大學,1304428544,2586,504419.3906
國立高雄大學,-1351614464,5741,-235431.8871
國立高雄師範大學,2090860544,6845,305458.078
大同大學,-452984832,4012,-112907.4855
大葉大學,-817889280,7770,-105262.4556
實踐大學,1451229184,13216,109808.5036
康寧大學,-1880096768,3465,-542596.4698
慈濟大學,-319815680,3383,-94536.11587
明道大學,1950351360,2525,772416.3802
東吳大學,1216348160,15374,79117.22128
東海大學,375390208,15710,23894.9846
法鼓文理學院,1859125248,302,6156043.868
淡江大學,-1380974592,24209,-57043.85113
玄奘大學,-1143996416,2408,-475081.5681
真理大學,-2069889024,5255,-393889.4432
稻江科技暨管理學院,715128832,276,2591046.493
義守大學,1046478848,14351,72920.27371
臺北市立大學,1971322880,7986,246847.3428
臺北醫學大學,1665138688,5993,277847.2698
華梵大學,695205888,1165,596743.2515
輔仁大學,-333447168,25651,-12999.38279
逢甲大學,-1304428544,21059,-61941.6185
銘傳大學,612368384,18614,32898.26926
長庚大學,387973120,6811,56962.725
長榮大學,1884291072,8248,228454.3007
開南大學,32505856,5587,5818.123501
靜宜大學,-1107296256,12018,-92136.48328
馬偕醫學院,1126170624,816,1380111.059
高雄醫學大學,-1069547520,6490,-164799.3097
